day,book,fill_ts,exit_ts,direction,entry,stop_initial,exit_price,exit_reason,r_multiple,dollars,pattern,tf
2026-02-02,MOMENTUM,2026-02-02T08:01:00-05:00,2026-02-02T08:15:00-05:00,short,25474.25,25498.75,25499.0,stop,-1.0102,-500.0,A,5min
2026-02-02,MOMENTUM,2026-02-02T08:17:00-05:00,2026-02-02T08:45:00-05:00,short,25480.25,25501.75,25502.0,stop,-1.0116,-440.0,A,2min
2026-02-11,MOMENTUM,2026-02-11T09:41:00-05:00,2026-02-11T09:45:00-05:00,short,25361.0,25416.5,25416.75,stop,-1.0045,-562.5,A,5min
2026-02-11,MOMENTUM,2026-02-11T09:46:00-05:00,2026-02-11T09:56:00-05:00,long,25426.0,25344.25,25344.0,stop,-1.0031,-825.0,B,5min
2026-02-12,MOMENTUM,2026-02-12T08:34:00-05:00,2026-02-12T08:37:00-05:00,long,25363.0,25347.75,25381.5,target,1.2131,365.0,B,1min
2026-02-12,MOMENTUM,2026-02-12T09:43:00-05:00,2026-02-12T09:45:00-05:00,short,25354.75,25389.25,25297.5,target,1.6594,1140.0,A,3min
2026-02-13,ROTATION,2026-02-13T09:57:00-05:00,2026-02-13T09:57:00-05:00,long,24692.25,24728.5,24692.0,stop,-0.0164,-10.0,B,2min
2026-02-13,ROTATION,2026-02-13T10:04:00-05:00,2026-02-13T10:16:00-05:00,long,24725.25,24692.25,24752.75,partial+stop,0.9941,521.88,B,3min
2026-02-16,MOMENTUM,2026-02-16T09:52:00-05:00,2026-02-16T10:30:00-05:00,long,24736.25,24707.0,24706.75,stop,-1.0085,-595.0,B,3min
2026-02-17,MOMENTUM,2026-02-17T08:01:00-05:00,2026-02-17T08:12:00-05:00,short,24584.0,24604.75,24527.0,target,2.747,1135.0,B2,5min
2026-02-17,MOMENTUM,2026-02-17T08:23:00-05:00,2026-02-17T08:51:00-05:00,long,24602.0,24551.25,24692.5,target,1.7833,900.0,B,2min
2026-02-18,ROTATION,2026-02-18T09:50:00-05:00,2026-02-18T09:54:00-05:00,long,24802.5,24792.0,24864.75,partial+target,2.4261,1062.5,A,1min
2026-02-20,MOMENTUM,2026-02-20T08:32:00-05:00,2026-02-20T09:36:00-05:00,short,24784.5,24863.0,24864.0,stop,-1.0127,-800.0,B,1min
2026-02-23,MOMENTUM,2026-02-23T08:05:00-05:00,2026-02-23T09:30:00-05:00,long,24911.75,24903.0,25001.5,target,10.2571,1790.0,B,2min
2026-02-23,MOMENTUM,2026-02-23T09:42:00-05:00,2026-02-23T11:06:00-05:00,short,24908.0,24997.0,24681.0,target,2.5506,2265.0,B,1min
2026-02-24,MOMENTUM,2026-02-24T08:03:00-05:00,2026-02-24T08:48:00-05:00,long,24823.5,24814.25,24885.75,target,6.7297,1240.0,B,2min
2026-02-24,MOMENTUM,2026-02-24T09:43:00-05:00,2026-02-24T12:10:00-05:00,long,24862.5,24793.25,25057.25,target,2.8123,1942.5,B,3min
2026-02-25,ROTATION,2026-02-25T10:08:00-05:00,2026-02-25T10:52:00-05:00,short,25331.5,25344.0,25282.5,target,3.92,975.0,A,1min
2026-02-26,ROTATION,2026-02-26T08:09:00-05:00,2026-02-26T08:12:00-05:00,short,25371.5,25380.0,25373.75,partial+stop,0.1397,18.75,A,3min
2026-02-26,ROTATION,2026-02-26T08:16:00-05:00,2026-02-26T08:29:00-05:00,long,25377.25,25368.5,25399.0,target,2.4857,430.0,B,3min
2026-02-27,ROTATION,2026-02-27T09:46:00-05:00,2026-02-27T09:46:00-05:00,short,24856.5,24864.0,24864.25,stop,-0.7045,-160.0,B2,3min
2026-03-04,ROTATION,2026-03-04T09:49:00-05:00,2026-03-04T09:49:00-05:00,short,24906.75,24919.5,24920.5,stop,-0.3793,-280.0,A,3min
2026-03-04,ROTATION,2026-03-04T09:50:00-05:00,2026-03-04T09:50:00-05:00,long,24893.0,24869.75,24868.75,stop,-1.043,-490.0,B,1min
2026-03-05,ROTATION,2026-03-05T08:20:00-05:00,2026-03-05T08:20:00-05:00,short,25049.0,25047.5,25050.0,stop,-0.129,-25.0,A,1min
2026-03-05,ROTATION,2026-03-05T08:21:00-05:00,2026-03-05T08:24:00-05:00,long,25045.75,25034.0,25033.0,stop,-0.9808,-260.0,B2,5min
